snapshot_utc,season,team_abbr,team_name,team_slug,player,player_key,player_url,position,age,service_time_yos,options_remaining,minor_status,roster_section_tax,roster_section_cash,roster_section_contract,rank_tax,rank_cash,contract_type_tax,contract_type_contracts,contract_subtype_contracts,luxury_tax_salary,luxury_tax_pct_league_cbt,total_cash,base_cash,signing_bonus,free_agent_year,contract_signed_year,contract_start_year,contract_end_year,contract_years,contract_value,contract_aav,mlb_person_id,mlb_roster_team,mlb_roster_status,matched_to_mlb_40man,source_urls,validation_flags,parse_notes
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,A.J. Puk,ajpuk,https://www.spotrac.com/mlb/player/_/id/20671/aj-puk,RP,31,5.124,,,2026 Injured List,2026 Injured List,Arizona Diamondbacks Contracts,,,Arbitration 2,Arbitration,,3100000,,3100000,3100000,,,2026,2026,2026,1,3100000,3100000,640462,ARI,Injured 60-Day,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Adrian Del Castillo,adriandelcastillo,https://www.spotrac.com/mlb/player/_/id/73329/adrian-del-castillo,C,26,0.128,,,2026 Minor,2026 Minor,,,,Pre-Arbitration,,,437944,0.18,437944,437944,,,,,,,,,680728,ARI,Reassigned to Minors,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Alek Thomas,alekthomas,https://www.spotrac.com/mlb/player/_/id/26086/alek-thomas,CF,26,3.103,,,2026 Retained,2026 Retained,,,,Retained,,,514190,,514190,514190,,,,,,,,,677950,LAD,Reassigned to Minors,true_other_team,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Andrew Hoffman,andrewhoffman,https://www.spotrac.com/mlb/player/_/id/73593/andrew-hoffman,RP,26,0.033,,,2026 Minor,2026 Minor,,,,Pre-Arbitration,,,150516,0.06,150516,150516,,,,,,,,,,,,false,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Andrew Saalfrank,andrewsaalfrank,https://www.spotrac.com/mlb/player/_/id/31122/andrew-saalfrank,RP,28,0.118,,,2026 Injured List,2026 Injured List,Arizona Diamondbacks Contracts,,,Pre-Arbitration,Pre-Arbitration,,786900,,786900,786900,,,2026,2026,2026,1,786900,786900,685314,ARI,Injured 60-Day,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Angel Chacon,angelchacon,https://www.spotrac.com/mlb/player/_/id/105644/angel-chacon,C,17,,,,,2026 Signing Bonus,,,,,,,,,72500,,72500,,,,,,,,,,,false,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026,not_found_on_tax_page;not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Aramis Garcia,aramisgarcia,https://www.spotrac.com/mlb/player/_/id/17720/aramis-garcia,C,33,3.047,,,2026 Minor,2026 Minor,,,,Arbitration,,,171011,,171011,171011,,,,,,,,,,,,false,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Blake Walston,blakewalston,https://www.spotrac.com/mlb/player/_/id/30424/blake-walston,SP,25,1.096,,,2026 Injured List,2026 Injured List,Arizona Diamondbacks Contracts,,,Pre-Arbitration,Pre-Arbitration,,783700,,783700,783700,,,2026,2026,2026,1,783700,783700,686796,ARI,Injured 60-Day,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Brandon Pfaadt,brandonpfaadt,https://www.spotrac.com/mlb/player/_/id/48505/brandon-pfaadt,RP,27,2.097,,,2026 Active Roster,2026 Active Roster,Arizona Diamondbacks Contracts,,,Extension Pre-Arbitration,Extension Pre-Arbitration,,9000000,3.69,5000000,3000000,2000000,,2026,2026,2032,5,45000000,9000000,694297,ARI,Active,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Brandyn Garcia,brandyngarcia,https://www.spotrac.com/mlb/player/_/id/85081/brandyn-garcia,RP,26,0.041,,,2026 Active Roster,2026 Active Roster,Arizona Diamondbacks Contracts,,,Pre-Arbitration,Pre-Arbitration,,621479,0.25,621479,621479,,,2026,2026,2026,1,780000,780000,805299,ARI,Active,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Bryan Figueroa,bryanfigueroa,https://www.spotrac.com/mlb/player/_/id/105323/bryan-figueroa,SS,17,,,,,2026 Signing Bonus,,,,,,,,,597500,,597500,,,,,,,,,,,false,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026,not_found_on_tax_page;not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Carlos Santana,carlossantana,https://www.spotrac.com/mlb/player/_/id/7304/carlos-santana,1B,40,15.115,,,2026 Dead Money,2026 Dead Money,,,,,,,2000000,0.82,2000000,2000000,,,,,,,,,,,,false,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Corbin Burnes,corbinburnes,https://www.spotrac.com/mlb/player/_/id/20008/corbin-burnes,SP,31,7.049,,,2026 Injured List,2026 Injured List,Arizona Diamondbacks Contracts,,,Free Agent,Free Agent,,32910744,,20000000,20000000,,,2025,2025,2030,6,210000000,35000000,669203,ARI,Injured 60-Day,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Corbin Carroll,corbincarroll,https://www.spotrac.com/mlb/player/_/id/30414/corbin-carroll,RF,25,3.038,,,2026 Active Roster,2026 Active Roster,Arizona Diamondbacks Contracts,,,Extension Pre-Arbitration,Extension Pre-Arbitration,,13875000,5.69,10000000,10000000,,,2023,2023,2031,8,111000000,13875000,682998,ARI,Active,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Cristian Mena,cristianmena,https://www.spotrac.com/mlb/player/_/id/74800/cristian-mena,SP,23,0.125,,,2026 Injured List,2026 Injured List,Arizona Diamondbacks Contracts,,,Pre-Arbitration,Pre-Arbitration,,782000,,782000,782000,,,2026,2026,2026,1,782000,782000,691441,ARI,Injured 60-Day,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,D-Shawn Martina,dshawnmartina,https://www.spotrac.com/mlb/player/_/id/105643/d-shawn-martina,OF,17,,,,,2026 Signing Bonus,,,,,,,,,167500,,167500,,,,,,,,,,,false,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026,not_found_on_tax_page;not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Diland Cepeda,dilandcepeda,https://www.spotrac.com/mlb/player/_/id/105810/diland-cepeda,P,17,,,,,2026 Signing Bonus,,,,,,,,,117500,,117500,,,,,,,,,,,false,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026,not_found_on_tax_page;not_found_on_contracts_page,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Drey Jameson,dreyjameson,https://www.spotrac.com/mlb/player/_/id/30432/drey-jameson,RP,28,2.012,,,2026 Active Roster,2026 Active Roster,Arizona Diamondbacks Contracts,,,Pre-Arbitration,Pre-Arbitration,,495505,0.20,495505,495505,,,2026,2026,2026,1,820000,820000,686753,ARI,Active,true,https://www.spotrac.com/mlb/arizona-diamondbacks/cash/_/year/2026 | https://www.spotrac.com/mlb/arizona-diamondbacks/contracts | https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,,
2026-07-08T14:16:26+00:00,2026,ARI,Arizona Diamondbacks,arizona-diamondbacks,Dylan Ray,dylanray,https://www.spotrac.com/mlb/player/_/id/78704/dylan-ray,SP,,,,,2026 Minor,,,,,Pre-Arbitration,,,,,,,,,,,,,,,691009,ARI,Reassigned to Minors,true,https://www.spotrac.com/mlb/arizona-diamondbacks/tax/_/year/2026,missing_all_money_fields;not_found_on_cash_page;not_found_on_contracts_page,
